SPEKAER_ID; TEXTS; FREELOCCODE; AREA; COUNTY; LOC; SPEAKER_AGE; SPEAKER_DOB; SPEAKER_DECADE; SPEKAER_SEX; REC_DATE; REC_DECADE; EEXTENT; R
IBFB ; SAL_013 ; Mid Shropshire Dawley ; Mid ; Shropshire ; Dawley ; 74 ; 1914 ; 191 ; m ; 1988 ; 199 ; 5851
IBWiBr ; SAL_014,SAL_015 ; Mid Shropshire Telford ; Mid ; Shropshire ; Telford ; 99 ; 1886 ; 188 ; m ; 1985 ; 198 ; 8430
IBED ; SAL_016 ; Mid Shropshire Coalport ; Mid ; Shropshire ; Coalport ; 72 ; 1903 ; 190 ; m ; 1975 ; 198 ; 2831
IBAD ; SAL_017,SAL_018 ; Mid Shropshire  ; Mid ; Shropshire ;  ; 85 ; 1901 ; 190 ; m ; 1986 ; 197 ; 10532
IBJD ; SAL_019 ; Mid Shropshire Ketley ; Mid ; Shropshire ; Ketley ; 69 ; 1916 ; 191 ; m ; 1985 ; 198 ; 4677
IBErDi ; SAL_020 ; Mid Shropshire Madley ; Mid ; Shropshire ; Madley ; 82 ; 1901 ; 190 ; m ; 1983 ; 198 ; 6927
IBCD ; SAL_021 ; Mid Shropshire Ironbridge ; Mid ; Shropshire ; Ironbridge ; 77 ; 1907 ; 190 ; m ; 1983 ; 198 ; 3931
IBMrsD ; SAL_022 ; Mid Shropshire Ironbridge ; Mid ; Shropshire ; Ironbridge ; 81 ; 1894 ; 189 ; f ; 1975 ; 198 ; 1262
IBME ; SAL_023 ; Mid Shropshire Oakengates ; Mid ; Shropshire ; Oakengates ; 76 ; 1906 ; 190 ; m ; 1982 ; 197 ; 15201
IBLE ; SAL_024,SAL_025 ; Mid Shropshire Craigside ; Mid ; Shropshire ; Craigside ; 89 ; 1895 ; 189 ; m ; 1984 ; 198 ; 10477
IBCE ; SAL_026 ; Mid Shropshire Ironbridge ; Mid ; Shropshire ; Ironbridge ; 78 ; 1914 ; 191 ; m ; 1992 ; 198 ; 6301
IBFF ; SAL_027 ; Mid Shropshire Ironbridge ; Mid ; Shropshire ; Ironbridge ;  ;  ;  ; m ; 1982 ; 199 ; 4196
IBMrsF ; SAL_028 ; Mid Shropshire Ironbridge ; Mid ; Shropshire ; Ironbridge ; 89 ; 1890 ; 189 ; f ; 1979 ; 198 ; 1769
IBSH ; SAL_029 ; Mid Shropshire Ironbridge ; Mid ; Shropshire ; Ironbridge ; 79 ; 1908 ; 190 ; m ; 1987 ; 197 ; 1984
IBAnBa ; SAL_029 ; Mid Shropshire Ironbridge ; Mid ; Shropshire ; Ironbridge ; 76 ; 1911 ; 191 ; f ; 1987 ; 197 ; 3396
IBAL ; SAL_030 ; Mid Shropshire Coalport ; Mid ; Shropshire ; Coalport ; 77 ; 1902 ; 190 ; m ; 1979 ; 198 ; 4366
IBGL ; SAL_031 ; Mid Shropshire Dawley ; Mid ; Shropshire ; Dawley ; 85 ; 1906 ; 190 ; f ; 1991 ; 197 ; 5665
IBGJ ; SAL_032 ; Mid Shropshire Madeley ; Mid ; Shropshire ; Madeley ; 83 ; 1899 ; 189 ; m ; 1982 ; 199 ; 4706
IBTJ ; SAL_033 ; Mid Shropshire Telford ; Mid ; Shropshire ; Telford ; 82 ; 1901 ; 190 ; m ; 1983 ; 198 ; 4289
IBCH ; SAL_034 ; Mid Shropshire Wellington ; Mid ; Shropshire ; Wellington ; 89 ; 1893 ; 189 ; m ; 1982 ; 198 ; 3332
IBRH ; SAL_035 ; Mid Shropshire Ironbridge ; Mid ; Shropshire ; Ironbridge ; 79 ; 1901 ; 190 ; m ; 1980 ; 198 ; 1925
IBBM ; SAL_036 ; Mid Shropshire Broseley ; Mid ; Shropshire ; Broseley ;  ;  ;  ; m ; 1979 ; 198 ; 6775
